"","Name","Score","gene_names","DESeq2_Appeared","DESeq2_Validated","Wilcox_Appeared","Wilcox_Validated","uniprot","Prot_Evidence"
"ENSG00000173705","ENSG00000173705",4.06731570179091e-07,"SUSD5",TRUE,TRUE,TRUE,TRUE,"O60279",FALSE
"ENSG00000112414","ENSG00000112414",1.32733871879167e-05,"ADGRG6",TRUE,FALSE,TRUE,TRUE,"Q86SQ4",FALSE
"ENSG00000142235","ENSG00000142235",6.7058945739769e-05,"LMTK3",TRUE,TRUE,TRUE,TRUE,"A0A0A0MQW5",FALSE
"ENSG00000167889","ENSG00000167889",7.02327909394137e-05,"MGAT5B",TRUE,FALSE,TRUE,TRUE,"Q3V5L5",FALSE
"ENSG00000118777","ENSG00000118777",7.91581274632774e-05,"ABCG2",TRUE,TRUE,TRUE,TRUE,"Q9UNQ0",TRUE
"ENSG00000171951","ENSG00000171951",0.000142415364583333,"SCG2",TRUE,TRUE,FALSE,FALSE,"P13521",FALSE
"ENSG00000143226","ENSG00000143226",0.000211742384117054,"FCGR2A",TRUE,TRUE,FALSE,FALSE,"P12318",FALSE
"ENSG00000185885","ENSG00000185885",0.000329080989916753,"IFITM1",TRUE,FALSE,TRUE,FALSE,"A0A024R210",FALSE
"ENSG00000008277","ENSG00000008277",0.000383591946260429,"ADAM22",TRUE,TRUE,TRUE,TRUE,"Q9P0K1",FALSE
"ENSG00000100867","ENSG00000100867",0.00047095027970679,"DHRS2",TRUE,TRUE,TRUE,TRUE,"Q13268",FALSE
"ENSG00000088053","ENSG00000088053",0.000512633597859197,"GP6",TRUE,TRUE,FALSE,TRUE,"Q9HCN6",FALSE
"ENSG00000121895","ENSG00000121895",0.000547625457407311,"TMEM156",TRUE,TRUE,TRUE,TRUE,"Q8N614",FALSE
"ENSG00000203747","ENSG00000203747",0.000646529374299226,"FCGR3A",TRUE,TRUE,FALSE,FALSE,"M9MML0",FALSE
"ENSG00000166523","ENSG00000166523",0.000803420385538947,"CLEC4E",TRUE,TRUE,TRUE,TRUE,"Q9ULY5",FALSE
"ENSG00000198019","ENSG00000198019",0.000843606468948123,"FCGR1B",TRUE,TRUE,FALSE,FALSE,NA,FALSE
"ENSG00000033170","ENSG00000033170",0.000843606468948123,"FUT8",FALSE,FALSE,TRUE,TRUE,"Q546E0",FALSE
"ENSG00000242574","ENSG00000242574",0.00104820772986867,"HLA-DMB",TRUE,FALSE,FALSE,FALSE,"A0A1V0E3P2",FALSE
"ENSG00000130303","ENSG00000130303",0.00106662683117543,"BST2",FALSE,FALSE,TRUE,TRUE,"A0A024R7H5",FALSE
"ENSG00000096996","ENSG00000096996",0.0010729431318363,"IL12RB1",TRUE,TRUE,TRUE,TRUE,"P42701",FALSE
"ENSG00000146477","ENSG00000146477",0.00117628778646757,"SLC22A3",TRUE,FALSE,TRUE,TRUE,"O75751",FALSE
"ENSG00000087253","ENSG00000087253",0.00159018410091249,"LPCAT2",FALSE,FALSE,TRUE,TRUE,"Q7L5N7",FALSE
"ENSG00000121871","ENSG00000121871",0.00173648020196547,"SLITRK3",TRUE,FALSE,FALSE,FALSE,"O94933",FALSE
"ENSG00000165071","ENSG00000165071",0.00173648020196547,"TMEM71",FALSE,FALSE,FALSE,TRUE,"Q6P5X7",FALSE
"ENSG00000165959","ENSG00000165959",0.00189056460036183,"CLMN",FALSE,FALSE,TRUE,TRUE,"Q6NUQ2",FALSE
"ENSG00000174130","ENSG00000174130",0.0019614755506322,"TLR6",FALSE,FALSE,FALSE,TRUE,"B2R933",FALSE
"ENSG00000152315","ENSG00000152315",0.00220765801283614,"KCNK13",FALSE,FALSE,FALSE,TRUE,"Q9HB14",FALSE
"ENSG00000165548","ENSG00000165548",0.00225083830951403,"TMEM63C",FALSE,FALSE,TRUE,TRUE,"A0A024R6B3",FALSE
"ENSG00000104888","ENSG00000104888",0.0025681389702691,"SLC17A7",TRUE,TRUE,FALSE,FALSE,"Q9P2U7",FALSE
"ENSG00000166428","ENSG00000166428",0.00257109432548124,"PLD4",TRUE,TRUE,FALSE,FALSE,"B4DI07",FALSE
"ENSG00000006283","ENSG00000006283",0.00261949006795973,"CACNA1G",FALSE,FALSE,FALSE,FALSE,"O43497",FALSE
"ENSG00000158457","ENSG00000158457",0.00261949006795973,"TSPAN33",FALSE,FALSE,FALSE,TRUE,"Q86UF1",FALSE
"ENSG00000143469","ENSG00000143469",0.00294517696226502,"SYT14",FALSE,FALSE,TRUE,TRUE,"A1L3Y1",FALSE
"ENSG00000164796","ENSG00000164796",0.00297765799335319,"CSMD3",FALSE,FALSE,FALSE,FALSE,"Q7Z407",FALSE
"ENSG00000126262","ENSG00000126262",0.00325511506639683,"FFAR2",TRUE,TRUE,FALSE,TRUE,"C6KYL4",FALSE
"ENSG00000189068","ENSG00000189068",0.00393342383113908,"VSTM1",FALSE,FALSE,FALSE,TRUE,"D2DJS6",FALSE
"ENSG00000137463","ENSG00000137463",0.0039999496098206,"MGARP",TRUE,TRUE,FALSE,TRUE,"Q8TDB4",FALSE
"ENSG00000085563","ENSG00000085563",0.00420459704142376,"ABCB1",FALSE,FALSE,TRUE,TRUE,"A4D1D2",TRUE
"ENSG00000160712","ENSG00000160712",0.00427452647055451,"IL6R",FALSE,TRUE,TRUE,TRUE,"A0N0L5",FALSE
"ENSG00000167600","ENSG00000167600",0.00463734748670821,"CYP2S1",FALSE,TRUE,FALSE,FALSE,"Q96SQ9",FALSE
"ENSG00000081237","ENSG00000081237",0.00470651984757253,"PTPRC",TRUE,TRUE,FALSE,FALSE,"M9MML4",FALSE
"ENSG00000118640","ENSG00000118640",0.00486583975521252,"VAMP8",FALSE,FALSE,TRUE,TRUE,"Q9BV40",FALSE
"ENSG00000005844","ENSG00000005844",0.00520976536740334,"ITGAL",TRUE,TRUE,FALSE,FALSE,"P20701",FALSE
"ENSG00000120251","ENSG00000120251",0.00535102314389794,"GRIA2",TRUE,TRUE,FALSE,FALSE,"P42262",FALSE
"ENSG00000268500","ENSG00000268500",0.00577654394704613,"SIGLEC5",TRUE,TRUE,FALSE,FALSE,"O15389",FALSE
"ENSG00000123104","ENSG00000123104",0.00629120629784142,"ITPR2",FALSE,FALSE,TRUE,TRUE,"Q14571",FALSE
"ENSG00000181790","ENSG00000181790",0.00686924724224909,"ADGRB1",TRUE,TRUE,FALSE,FALSE,"O14514",FALSE
"ENSG00000169248","ENSG00000169248",0.00718235969543456,"CXCL11",FALSE,FALSE,TRUE,TRUE,"O14625",FALSE
"ENSG00000135472","ENSG00000135472",0.00721742023237132,"FAIM2",TRUE,TRUE,FALSE,TRUE,"Q9BWQ8",FALSE
"ENSG00000081138","ENSG00000081138",0.008909846002402,"CDH7",TRUE,TRUE,FALSE,FALSE,"F5H5X9",FALSE
